en_original;bg_original;cs_original;da_original;de_original;el_original;es_original;et_original;fi_original;fr_original;hr_original;hu_original;it_original;lt_original;lv_original;mt_original;nl_original;pl_original;pt_original;ro_original;sk_original;sl_original;sv_original;no_original;is_original
non-ferrous metal filings and turnings;стружки и стърготини от цветни метали;neželezné kovové piliny a třísky;ikke-jernholdige metalspåner og drejespåner;Nichteisenmetallspäne und -drehteile;ρινίσματα και γυρίσματα μη σιδηρούχων μετάλλων;virutas y recortes de metales no ferrosos;värvilise metalli viilmed ja laastud;ei-rautametallilastut ja -kappaleet;copeaux et tournures de métaux non ferreux;strugotine i strugotine neželjeznih metala;nemvasfém forgácsok és forgácsok;trucioli e torniture di metalli non ferrosi;spalvotųjų metalų drožlės ir drožlės;krāsaino metālu skaidas un virpošanas atgriezumi;fajlijiet u shavings ta' metall mhux feruż;non-ferro metaalvijlsel en -draaisel;wióry i opiłki metali nieżelaznych;limalhas e aparas de metais não ferrosos;șpan și așchii de metal neferoase;neželezné kovové piliny a triesky;neželezne kovinske opilke in ostružki;icke-järnmetallspån och svarvspån;ikke-jernholdige metallfiler og spon;málmflísar og snúningar án járns
non-ferrous metal dust and particles;прах и частици от цветни метали;neželezný kovový prach a částice;ikke-jernholdigt metalstøv og partikler;Nichteisenmetallstaub und -partikel;σκόνη και σωματίδια μη σιδηρούχων μετάλλων;polvo y partículas de metales no ferrosos;värvilise metalli tolm ja osakesed;ei-rautametallipöly ja -hiukkaset;poussières et particules de métaux non ferreux;prašina i čestice neželjeznih metala;nemvasfém por és részecskék;polvere e particelle di metalli non ferrosi;spalvotųjų metalų dulkės ir dalelės;krāsaino metālu putekļi un daļiņas;trab u partiċelli ta' metall mhux feruż;non-ferro metaalstof en -deeltjes;pył i cząstki metali nieżelaznych;poeira e partículas de metais não ferrosos;praf și particule de metal neferoase;neželezný kovový prach a častice;neželezni kovinski prah in delci;icke-järnmetallstoft och partiklar;ikke-jernholdig metallstøv og partikler;málmryk og agnir án járns
plastics shavings and turnings;стружки и стърготини от пластмаси;plastové hobliny a třísky;plastikspåner og drejespåner;Kunststoffspäne und -drehteile;ξέσματα και γυρίσματα πλαστικών;virutas y recortes de plásticos;plastiku laastud ja viilmed;muovikappaleet ja -lastut;copeaux et tournures de plastiques;strugotine i strugotine plastike;műanyag forgácsok és forgácsok;trucioli e torniture di plastica;plastikų drožlės ir drožlės;plastmasas skaidas un virpošanas atgriezumi;shavings u shavings tal-plastik;kunststofkrullen en -draaisel;wióry i opiłki z tworzyw sztucznych;aparas e limalhas de plásticos;șpan și așchii de plastic;plastové hobliny a triesky;plastični ostružki in ostružki;plastspån och svarvspån;plastflis og spon;plastspænir og snúningar
machining emulsions and solutions free of halogens;емулсии и разтвори за обработка без халогени;emulze a roztoky pro obrábění bez halogenů;bearbejdningsemulsioner og -opløsninger fri for halogener;Bearbeitungsemulsionen und -lösungen frei von Halogenen;γαλακτώματα και διαλύματα κατεργασίας χωρίς αλογόνα;emulsiones y soluciones de mecanizado libres de halógenos;halogeenivabad töötlemisemulsioonid ja lahused;halogeenittomat työstöemulsiot ja -liuokset;émulsions et solutions d'usinage exemptes d'halogènes;emulzije i otopine za obradu bez halogena;halogénmentes megmunkáló emulziók és oldatok;emulsioni e soluzioni di lavorazione prive di alogeni;apdirbimo emulsijos ir tirpalai be halogenų;apstrādes emulsijas un šķīdumi bez halogēniem;emulsjonijiet u soluzzjonijiet ta' magni mingħajr alogeni;bewerkingsemulsies en -oplossingen zonder halogenen;emulsje i roztwory obróbcze wolne od halogenów;emulsões e soluções de usinagem livres de halogênios;emulsii și soluții de prelucrare fără halogeni;emulzie a roztoky na obrábanie bez halogénov;emulzije in raztopine za obdelavo brez halogenov;bearbetningsemulsioner och lösningar fria från halogener;bearbeidingsemulsjoner og løsninger fri for halogener;vinnsluvökvar og lausnir án halógena
synthetic machining oils;синтетични масла за обработка;syntetické obráběcí oleje;syntetiske bearbejdningsolier;synthetische Bearbeitungsöle;συνθετικά έλαια κατεργασίας;aceites de mecanizado sintéticos;sünteetilised töötlemisõlid;synteettiset työstööljyt;huiles d'usinage synthétiques;sintetička ulja za obradu;szintetikus megmunkáló olajok;oli sintetici di lavorazione;sintetiniai apdirbimo aliejai;sintētiskās apstrādes eļļas;żejt sintetiku tal-magni;synthetische bewerkingsoliën;syntetyczne oleje obróbcze;óleos sintéticos de usinagem;uleiuri sintetice de prelucrare;syntetické obrábacie oleje;sintetična olja za obdelavo;syntetiska bearbetningsoljor;syntetiske bearbeidingsoljer;gervivinnsluolíur
spent waxes and fats;изразходвани восъци и мазнини;vyčerpané vosky a tuky;brugte voks og fedtstoffer;verbrauchte Wachse und Fette;χρησιμοποιημένα κεριά και λίπη;ceras y grasas agotadas;kasutatud vahad ja rasvad;käytetyt vahat ja rasvat;cires et graisses épuisées;potrošeni voskovi i masti;elhasznált viaszok és zsírok;cere e grassi esausti;panaudoti vaškai ir riebalai;izlietoti vaski un tauki;xama u xaħmijiet użati;gebruikte wassen en vetten;zużyte woski i tłuszcze;ceras e gorduras esgotadas;ceară și grăsimi uzate;vyčerpané vosky a tuky;izrabljeni voski in maščobe;förbrukade vaxer och fetter;brukte voks og fett;notað vax og fita
welding wastes;отпадъци от заваряване;odpady z svařování;svejseaffald;Schweißabfälle;απόβλητα συγκόλλησης;residuos de soldadura;keevitusjäätmed;hitsausjätteet;déchets de soudage;otpadi od zavarivanja;hegesztési hulladékok;rifiuti di saldatura;suvirinimo atliekos;metināšanas atkritumi;skart tal-iwweldjar;lasafval;odpady spawalnicze;resíduos de soldagem;deșeuri de sudură;odpady zo zvárania;odpadki od varjenja;svetsavfall;sveiseavfall;suðuúrgangur
machining sludges containing hazardous substances;утайки от обработка, съдържащи опасни вещества;kaly z obrábění obsahující nebezpečné látky;bearbejdningsslam indeholdende farlige stoffer;Bearbeitungsschlämme, die gefährliche Stoffe enthalten;ιλύες κατεργασίας που περιέχουν επικίνδυνες ουσίες;lodos de mecanizado que contienen sustancias peligrosas;ohtlikke aineid sisaldavad töötlemisettevõtete setted;vaarallisia aineita sisältävät työstölietteet;boues d'usinage contenant des substances dangereuses;muljevi iz obrade koji sadrže opasne tvari;veszélyes anyagokat tartalmazó megmunkálási iszapok;fanghi di lavorazione contenenti sostanze pericolose;apdirbimo nuosėdos, turinčios pavojingų medžiagų;apstrādes dūņas, kas satur bīstamas vielas;ħama tal-magni li fiha sustanzi perikolużi;bewerkingsslib dat gevaarlijke stoffen bevat;osady obróbcze zawierające substancje niebezpieczne;lodos de usinagem contendo substâncias perigosas;nămoluri de prelucrare care conțin substanțe periculoase;kaly z obrábania obsahujúce nebezpečné látky;blato iz obdelave, ki vsebuje nevarne snovi;bearbetningsslam som innehåller farliga ämnen;bearbeidingsslam som inneholder farlige stoffer;vinnsluslamm sem inniheldur hættuleg efni
readily biodegradable machining oil;лесно биоразградимо масло за обработка;snadno biologicky rozložitelný obráběcí olej;let biologisk nedbrydelig bearbejdningsolie;leicht biologisch abbaubares Bearbeitungsöl;εύκολα βιοδιασπώμενο έλαιο κατεργασίας;aceite de mecanizado fácilmente biodegradable;kergesti biolagunev töötlemisõli;helposti biohajoava työstööljy;huile d'usinage facilement biodégradable;lako biorazgradivo ulje za obradu;könnyen biológiailag lebomló megmunkáló olaj;olio di lavorazione facilmente biodegradabile;lengvai biologiškai skaidus apdirbimo aliejus;viegls bioloģiski noārdāms apstrādes eļļa;żejt tal-magni li jiddegrada faċilment;gemakkelijk biologisch afbreekbare bewerkingsolie;łatwo biodegradowalny olej obróbczy;óleo de usinagem prontamente biodegradável;ulei de prelucrare biodegradabil rapid;ľahko biologicky odbúrateľný obrábací olej;lahko biorazgradljivo olje za obdelavo;lätt biologiskt nedbrytbar bearbetningsolja;lett biologisk nedbrytbar maskinolje;auðleyst niðurbrotanlegt vinnsluolía
aqueous washing liquids;водни промивни течности;vodné mycí kapaliny;vandige vaskevæsker;wässrige Waschflüssigkeiten;υδατικά υγρά πλύσης;líquidos de lavado acuosos;vesilahused pesuvedelikud;vesipohjaiset pesunesteet;liquides de lavage aqueux;vodene otopine za pranje;vizes mosófolyadékok;liquidi di lavaggio acquosi;vandens plovimo skysčiai;ūdens bāzes mazgāšanas šķidrumi;likwidi tal-ħasil akkwjużi;waterige wasvloeistoffen;wodne płyny myjące;líquidos de lavagem aquosos;lichide de spălare apoase;vodné umývacie kvapaliny;vodne pralne tekočine;vattenbaserade tvättvätskor;vannbaserte vaskevann;vatnslausnir til þvotta
steam degreasing wastes;отпадъци от парно обезмасляване;odpadní páry z odmašťování;affald fra dampaffedtning;Dampfentfettungsabfälle;απόβλητα απολίπανσης με ατμό;residuos de desengrase con vapor;auruga rasvaärastuse jäätmed;höyryrasvanpoistojätteet;déchets de dégraissage à la vapeur;otpadne pare za odmašćivanje;gőzös zsírtalanító hulladékok;rifiuti di sgrassaggio a vapore;garų riebalų šalinimo atliekos;tvaika attaukošanas atkritumi;skart ta' tneħħija ta' grass permezz ta' fwar;stoomontvettingsafval;odpady odtłuszczania parowego;resíduos de desengorduramento a vapor;deșeuri de degresare cu abur;odpad z parného odmasťovania;odpadki iz parnega razmaščevanja;ångavfettningsavfall;avfall fra dampavfetting;úrgangur frá gufuaffitu
waste hydraulic oils;отпадъчни хидравлични масла;odpadní hydraulické oleje;affaldshydraulikolier;Abfallhydrauliköle;απόβλητα υδραυλικά έλαια;aceites hidráulicos usados;jäätmed hüdraulikaõlid;jätehydrauliikkaöljyt;huiles hydrauliques usées;otpadna hidraulična ulja;hidraulikaolaj hulladékok;oli idraulici di scarto;hidraulinės alyvos atliekos;atkritumu hidrauliskās eļļas;żjut idrawliċi skartati;afval hydraulische oliën;odpady olejów hydraulicznych;óleos hidráulicos usados;uleiuri hidraulice uzate;odpadové hydraulické oleje;odpadna hidravlična olja;avfall av hydrauloljor;avfall av hydraulikkoljer;úrgangs vökvaolíur
hydraulic oils;хидравлични масла;hydraulické oleje;hydraulikolier;Hydrauliköle;υδραυλικά έλαια;aceites hidráulicos;hüdraulikaõlid;hydrauliikkaöljyt;huiles hydrauliques;hidraulična ulja;hidraulikaolajok;oli idraulici;hidraulinės alyvos;hidrauliskās eļļas;żjut idrawliċi;hydraulische oliën;oleje hydrauliczne;óleos hidráulicos;uleiuri hidraulice;hydraulické oleje;hidravlična olja;hydrauloljor;hydraulikkoljer;vökvaolíur
chlorinated emulsions;хлорирани емулсии;chlorované emulze;chlorerede emulsioner;chlorierte Emulsionen;χλωριωμένες γαλακτωματοποιήσεις;emulsiones cloradas;klooritud emulsioonid;klooratut emulsiot;émulsions chlorées;klorirane emulzije;klórozott emulziók;emulsioni clorurate;chloruotos emulsijos;hlorētas emulsijas;emulsjonijiet klorinati;gechloreerde emulsies;emulsje chlorowane;emulsões cloradas;emulsii clorurate;chlorované emulzie;klorirane emulzije;klorerade emulsioner;klorerte emulsjoner;klórhúðaðar fleytur
non-chlorinated emulsions;нехлорирани емулсии;nechlorované emulze;ikke-chlorerede emulsioner;nicht chlorierte Emulsionen;μη χλωριωμένες γαλακτωματοποιήσεις;emulsiones no cloradas;mitteklooritud emulsioonid;ei-klooratut emulsiot;émulsions non chlorées;neklorirane emulzije;nem klórozott emulziók;emulsioni non clorurate;nechloruotos emulsijos;nehlorētas emulsijas;emulsjonijiet mhux klorinati;niet-gechloreerde emulsies;emulsje niechlorowane;emulsões não cloradas;emulsii neclorurate;nechlorované emulzie;neklorirane emulzije;icke-klorerade emulsioner;ikke-klorerte emulsjoner;óklórhúðaðar fleytur
mineral-based chlorinated hydraulic oils;минерални хлорирани хидравлични масла;minerální chlorované hydraulické oleje;mineralbaserede chlorerede hydraulikolier;mineralölbasierte chlorierte Hydrauliköle;υδραυλικά έλαια με βάση το ορυκτό και χλωριωμένα;aceites hidráulicos clorados de base mineral;mineraalipõhised klooritud hüdraulikaõlid;mineraalipohjaiset klooratut hydrauliikkaöljyt;huiles hydrauliques chlorées à base minérale;mineralna klorirana hidraulična ulja;ásványi alapú klórozott hidraulikaolajok;oli idraulici clorurati a base minerale;mineralinės chloruotos hidraulinės alyvos;minerāleļļas bāzes hlorētas hidrauliskās eļļas;żjut idrawliċi klorinati bbażati fuq minerali;mineraal-gebaseerde gechloreerde hydraulische oliën;oleje hydrauliczne chlorowane na bazie mineralnej;óleos hidráulicos clorados à base mineral;uleiuri hidraulice clorurate pe bază minerală;minerálne chlorované hydraulické oleje;na mineralni osnovi klorirana hidravlična olja;mineralbaserade klorerade hydrauloljor;mineralbaserte klorerte hydraulikkoljer;steinefna-klórhúðaðar vökvaolíur
mineral based non-chlorinated hydraulic oils;минерални нехлорирани хидравлични масла;minerální nechlorované hydraulické oleje;mineralbaserede ikke-chlorerede hydraulikolier;mineralölbasierte nicht chlorierte Hydrauliköle;υδραυλικά έλαια με βάση το ορυκτό και μη χλωριωμένα;aceites hidráulicos no clorados de base mineral;mineraalipõhised mitteklooritud hüdraulikaõlid;mineraalipohjaiset ei-klooratut hydrauliikkaöljyt;huiles hydrauliques non chlorées à base minérale;mineralna neklorirana hidraulična ulja;ásványi alapú nem klórozott hidraulikaolajok;oli idraulici non clorurati a base minerale;mineralinės nechloruotos hidraulinės alyvos;minerāleļļas bāzes nehlorētas hidrauliskās eļļas;żjut idrawliċi mhux klorinati bbażati fuq minerali;mineraal-gebaseerde niet-gechloreerde hydraulische oliën;oleje hydrauliczne niechlorowane na bazie mineralnej;óleos hidráulicos não clorados à base mineral;uleiuri hidraulice neclorurate pe bază minerală;minerálne nechlorované hydraulické oleje;na mineralni osnovi neklorirana hidravlična olja;mineralbaserade icke-klorerade hydrauloljor;mineralbaserte ikke-klorerte hydraulikkoljer;steinefna-óklórhúðaðar vökvaolíur
synthetic hydraulic oils;синтетични хидравлични масла;syntetické hydraulické oleje;syntetiske hydraulikolier;synthetische Hydrauliköle;συνθετικά υδραυλικά έλαια;aceites hidráulicos sintéticos;sünteetilised hüdraulikaõlid;synteettiset hydrauliikkaöljyt;huiles hydrauliques synthétiques;sintetička hidraulična ulja;szintetikus hidraulikaolajok;oli idraulici sintetici;sintetinės hidraulinės alyvos;sintētiskās hidrauliskās eļļas;żjut idrawliċi sintetiċi;synthetische hydraulische oliën;syntetyczne oleje hydrauliczne;óleos hidráulicos sintéticos;uleiuri hidraulice sintetice;syntetické hydraulické oleje;sintetična hidravlična olja;syntetiska hydrauloljor;syntetiske hydraulikkoljer;gervivökvaolíur
readily biodegradable hydraulic oils;лесно биоразградими хидравлични масла;snadno biologicky rozložitelné hydraulické oleje;let biologisk nedbrydelige hydraulikolier;leicht biologisch abbaubare Hydrauliköle;εύκολα βιοδιασπώμενα υδραυλικά έλαια;aceites hidráulicos fácilmente biodegradables;kergesti biolagunevad hüdraulikaõlid;helposti biohajoavat hydrauliikkaöljyt;huiles hydrauliques facilement biodégradables;lako biorazgradiva hidraulična ulja;könnyen biológiailag lebomló hidraulikaolajok;oli idraulici facilmente biodegradabili;lengvai biologiškai skaidomos hidraulinės alyvos;viegli bioloģiski noārdāmas hidrauliskās eļļas;żjut idrawliċi li jiddegradaw faċilment;gemakkelijk biologisch afbreekbare hydraulische oliën;łatwo biodegradowalne oleje hydrauliczne;óleos hidráulicos prontamente biodegradáveis;uleiuri hidraulice biodegradabile rapid;ľahko biologicky odbúrateľné hydraulické oleje;lahko biorazgradljiva hidravlična olja;lätt biologiskt nedbrytbara hydrauloljor;lett biologisk nedbrytbare hydraulikkoljer;auðleyst niðurbrotanlegt vökvaolíur
other hydraulic oils;други хидравлични масла;jiné hydraulické oleje;andre hydraulikolier;andere Hydrauliköle;άλλα υδραυλικά έλαια;otros aceites hidráulicos;muud hüdraulikaõlid;muut hydrauliikkaöljyt;autres huiles hydrauliques;druga hidraulična ulja;egyéb hidraulikaolajok;altri oli idraulici;kitos hidraulinės alyvos;citas hidrauliskās eļļas;żjut idrawliċi oħra;andere hydraulische oliën;inne oleje hydrauliczne;outros óleos hidráulicos;alte uleiuri hidraulice;iné hydraulické oleje;druga hidravlična olja;andra hydrauloljor;andre hydraulikkoljer;aðrar vökvaolíur
waste engine;отпадъчен двигател;odpadní motor;affaldsmotor;Abfallmotoren;απόβλητα κινητήρων;residuos de motor;jäätmed mootor;jätemoottori;moteur usé;otpadni motor;hulladékmotor;motore di scarto;variklio atliekos;atkritumu dzinējs;skart tal-magna;afvalmotor;odpady silnikowe;resíduos de motor;motor uzat;odpadový motor;odpadni motorji;avfallsmotor;avfallsmotor;úrgangs vélar
waste insulating and heat transmission oils;отпадъчни изолационни и топлопреносни масла;odpadní izolační a teplonosné oleje;affaldsisolations- og varmeoverførselsolier;Abfallisolier- und Wärmeübertragungsöle;απόβλητα μονωτικά και θερμικά μεταφερόμενα έλαια;residuos de aceites aislantes y de transmisión de calor;jäätmed isolatsiooni- ja soojusülekandeõlid;jäte-eristys- ja lämmönsiirtoöljyt;huiles d'isolation et de transmission de chaleur usées;otpadna izolacijska i ulja za prijenos topline;szigetelő és hőátadó olaj hulladékok;oli isolanti e di trasmissione del calore di scarto;izoliacinės ir šilumos perdavimo alyvos atliekos;atkritumu izolācijas un siltuma pārneses eļļas;żjut ta' insulazzjoni u trasmissjoni tas-sħana skartati;afval isolatie- en warmteoverdrachtsoliën;odpady olejów izolacyjnych i do transmisji ciepła;óleos isolantes e de transmissão de calor usados;uleiuri de izolare și de transmisie a căldurii uzate;odpadové izolačné a teplonosné oleje;odpadna izolacijska in toplotno prenosna olja;avfall av isolerings- och värmeöverföringsoljor;avfall av isolasjons- og varmeoverføringsoljer;úrgangs einangrunar- og hitaflutningsolíur
synthetic insulating and heat transmission oils;синтетични изолационни и топлопреносни масла;syntetické izolační a teplonosné oleje;syntetiske isolations- og varmeoverførselsolier;synthetische Isolier- und Wärmeübertragungsöle;συνθετικά μονωτικά και θερμικά μεταφερόμενα έλαια;aceites aislantes y de transmisión de calor sintéticos;sünteetilised isolatsiooni- ja soojusülekandeõlid;synteettiset eristys- ja lämmönsiirtoöljyt;huiles d'isolation et de transmission de chaleur synthétiques;sintetička izolacijska i ulja za prijenos topline;szintetikus szigetelő és hőátadó olajok;oli isolanti e di trasmissione del calore sintetici;sintetinės izoliacinės ir šilumos perdavimo alyvos;sintētiskās izolācijas un siltuma pārneses eļļas;żjut ta' insulazzjoni u trasmissjoni tas-sħana sintetiċi;synthetische isolatie- en warmteoverdrachtsoliën;syntetyczne oleje izolacyjne i do transmisji ciepła;óleos isolantes e de transmissão de calor sintéticos;uleiuri sintetice de izolare și de transmisie a căldurii;syntetické izolačné a teplonosné oleje;sintetična izolacijska in toplotno prenosna olja;syntetiska isolerings- och värmeöverföringsoljor;syntetiske isolasjons- og varmeoverføringsoljer;gervi einangrunar- og hitaflutningsolíur
other insulating and heat transmission oils;други изолационни и топлопреносни масла;jiné izolační a teplonosné oleje;andre isolations- og varmeoverførselsolier;andere Isolier- und Wärmeübertragungsöle;άλλα μονωτικά και θερμικά μεταφερόμενα έλαια;otros aceites aislantes y de transmisión de calor;muud isolatsiooni- ja soojusülekandeõlid;muut eristys- ja lämmönsiirtoöljyt;autres huiles d'isolation et de transmission de chaleur;druga izolacijska i ulja za prijenos topline;egyéb szigetelő és hőátadó olajok;altri oli isolanti e di trasmissione del calore;kitos izoliacinės ir šilumos perdavimo alyvos;citas izolācijas un siltuma pārneses eļļas;żjut ta' insulazzjoni u trasmissjoni tas-sħana oħra;andere isolatie- en warmteoverdrachtsoliën;inne oleje izolacyjne i do transmisji ciepła;outros óleos isolantes e de transmissão de calor;alte uleiuri de izolare și de transmisie a căldurii;iné izolačné a teplonosné oleje;druga izolacijska in toplotno prenosna olja;andra isolerings- och värmeöverföringsoljor;andre isolasjons- og varmeoverføringsoljer;aðrar einangrunar- og hitaflutningsolíur
bilge oils;осадъчни масла;kalové oleje;lænseolier;Bilgenöle;έλαια σεντίνας;aceites de sentina;pilsiõlid;pilssiöljyt;huiles de cale;kaljužna ulja;fenékvíz olajok;oli di sentina;laivo dugno alyvos;santīmeļļas;żjut tal-bilge;bilge oliën;oleje zęzowe;óleos de porão;uleiuri de santină;kalové oleje;kaljužna olja;länsvattenoljor;lenseoljer;kjölvatnsolíur
bilge oils from inland navigation;осадъчни масла от вътрешно корабоплаване;kalové oleje z vnitrozemské plavby;lænseolier fra indre vandveje;Bilgenöle aus der Binnenschifffahrt;έλαια σεντίνας από εσωτερική ναυσιπλοΐα;aceites de sentina de navegación interior;pilsiõlid siseveetranspordist;sisävesiliikenteen pilssiöljyt;huiles de cale de navigation intérieure;kaljužna ulja iz unutarnje plovidbe;fenékvíz olajok belvízi hajózásból;oli di sentina dalla navigazione interna;laivo dugno alyvos iš vidaus navigacijos;santīmeļļas no iekšzemes kuģošanas;żjut tal-bilge minn navigazzjoni interna;bilge oliën van binnenvaart;oleje zęzowe z żeglugi śródlądowej;óleos de porão da navegação interior;uleiuri de santină din navigația interioară;kalové oleje z vnútrozemskej plavby;kaljužna olja iz celinske plovbe;länsvattenoljor från inre vattenvägar;lenseoljer fra innlandsnavigasjon;kjölvatnsolíur frá innlendum siglingum
bilge oils from jetty sewers;осадъчни масла от кейови канализации;kalové oleje z přístavních kanalizací;lænseolier fra kajafløb;Bilgenöle aus Kaikanälen;έλαια σεντίνας από αποχετεύσεις προβλήτας;aceites de sentina de alcantarillas de muelle;pilsiõlid kai kanalisatsioonidest;laituriviemäreiden pilssiöljyt;huiles de cale des égouts de quai;kaljužna ulja iz kanalizacije pristaništa;fenékvíz olajok móló csatornákból;oli di sentina dalle fognature del molo;laivo dugno alyvos iš prieplaukos kanalizacijos;santīmeļļas no piestātnes kanalizācijas;żjut tal-bilge minn kanali tal-moll;bilge oliën van steiger riolen;oleje zęzowe z kanalizacji nabrzeżowej;óleos de porão de esgotos de cais;uleiuri de santină din canalizările de chei;kalové oleje z prístavných kanalizácií;kaljužna olja iz pristaniških kanalov;länsvattenoljor från kajavlopp;lenseoljer fra kaianlegg;kjölvatnsolíur frá bryggju fráveitum
bilge oils from other navigation;осадъчни масла от друго корабоплаване;kalové oleje z jiné plavby;lænseolier fra anden navigation;Bilgenöle aus anderer Schifffahrt;έλαια σεντίνας από άλλη ναυσιπλοΐα;aceites de sentina de otras navegaciones;pilsiõlid muudest navigatsioonidest;muun liikenteen pilssiöljyt;huiles de cale d'autres navigations;kaljužna ulja iz druge plovidbe;fenékvíz olajok egyéb hajózásból;oli di sentina da altre navigazioni;laivo dugno alyvos iš kitos navigacijos;santīmeļļas no citas kuģošanas;żjut tal-bilge minn navigazzjoni oħra;bilge oliën van andere navigatie;oleje zęzowe z innych żeglugi;óleos de porão de outras navegações;uleiuri de santină din alte navigații;kalové oleje z inej plavby;kaljužna olja iz druge plovbe;länsvattenoljor från annan sjöfart;lenseoljer fra annen navigasjon;kjölvatnsolíur frá öðrum siglingum
oil/water separator contents;съдържание на масло/вода сепаратори;obsah odlučovačů olej/voda;indhold fra olie/vand-separator;Inhalte von Öl/Wasser-Abscheidern;περιεχόμενα διαχωριστή λαδιού/νερού;contenidos de separadores de aceite/agua;õli/vee eraldaja sisu;öljy/vesierottimen sisältö;contenu du séparateur huile/eau;sadržaj separatora ulja/vode;olaj/víz szeparátor tartalma;contenuti del separatore olio/acqua;aliejaus/vandens separatoriaus turinys;eļļas/ūdens separatora saturs;kontenut ta' separaturi ta' żejt/ilma;inhoud olie/water scheiders;zawartość separatora olej/woda;conteúdos de separadores de óleo/água;conținutul separatorului de ulei/apă;obsah odlučovača olej/voda;vsebina separatorjev olja/vode;innehåll från olje-/vattenavskiljare;innhold fra olje/vann-separator;innihald olíu/vatnsskiljara
solids from grit chambers and oil/water separators;твърди вещества от песъчни камери и сепаратори за масло/вода;pevné látky z lapáků písku a odlučovačů olej/voda;faststoffer fra sandfang og olie/vand-separatorer;Feststoffe aus Sandfängen und Öl/Wasser-Abscheidern;στερεά από θαλάμους άμμου και διαχωριστές λαδιού/νερού;sólidos de cámaras de arena y separadores de aceite/agua;tahked jäätmed liivakambritest ja õli/vee eraldajatest;kiinteät aineet hiekkakammiosta ja öljy/vesierottimista;solides provenant des chambres de dégrillage et des séparateurs huile/eau;krute tvari iz pjeskolova i separatora ulja/vode;szilárd anyagok homokfogókból és olaj/víz szétválasztókból;solidi da camere di grigliatura e separatori olio/acqua;kietosios medžiagos iš smėlio gaudyklių ir naftos/vandens atskirtuvų;cietās vielas no smilšu kamerām un eļļas/ūdens separatoriem;solidi minn kmamar tal-grit u separaturi taż-żejt/ilma;vaste stoffen uit zandvangers en olie/water afscheiders;substancje stałe z komór osadowych i separatorów olej/woda;sólidos de câmaras de areia e separadores de óleo/água;solide din camerele de nisip și separatoarele de ulei/apă;pevné látky z pieskových komôr a odlučovačov olej/voda;trdni odpadki iz peskolovov in ločevalnikov olja/vode;fasta ämnen från sandfång och olje-/vattenavskiljare;faste stoffer fra sandfang og olje/vann-separatorer;fast efni úr sandfanga og olíu/vatnsskiljurum
sludges from oil/water separators;утайки от сепаратори за масло/вода;kaly z odlučovačů olej/voda;slam fra olie/vand-separatorer;Schlämme aus Öl/Wasser-Abscheidern;ιλύες από διαχωριστές λαδιού/νερού;lodos de separadores de aceite/agua;õli/vee eraldajate setted;lietteet öljy/vesierottimista;boues des séparateurs huile/eau;muljevi iz separatora ulja/vode;iszapok olaj/víz szétválasztókból;fanghi da separatori olio/acqua;dumblas iš naftos/vandens atskirtuvų;dūņas no eļļas/ūdens separatoriem;ħama minn separaturi taż-żejt/ilma;slib uit olie/water afscheiders;osady z separatorów olej/woda;lodos de separadores de óleo/água;nămoluri din separatoarele de ulei/apă;kaly z odlučovačov olej/voda;blato iz ločevalnikov olja/vode;slam från olje-/vattenavskiljare;slam fra olje/vann-separatorer;sorpsett úr olíu/vatnsskiljurum
interceptor sludges;утайки от преградни съоръжения;kaly z lapačů;interceptorslam;Abscheiderschlämme;ιλύες από αναχαιτιστές;lodos de interceptores;vahepealsed setted;väliottolietteet;boues d'intercepteur;muljevi iz presretača;elfogó iszapok;fanghi da intercettori;gaudyklių dumblas;interceptoru dūņas;ħama ta' interċetturi;slib uit interceptors;osady z przechwytywaczy;lodos de interceptores;nămoluri de la interceptoare;kaly z lapačov;blato iz prestreznikov;interceptorslam;interceptorslam;sorpsett úr skiljum
oil from oil/water separators;масло от сепаратори за масло/вода;olej z odlučovačů olej/voda;olie fra olie/vand-separatorer;Öl aus Öl/Wasser-Abscheidern;λάδι από διαχωριστές λαδιού/νερού;aceite de separadores de aceite/agua;õli õli/vee eraldajatest;öljy öljy/vesierottimista;huile des séparateurs huile/eau;ulje iz separatora ulja/vode;olaj olaj/víz szétválasztókból;olio da separatori olio/acqua;nafta iš naftos/vandens atskirtuvų;eļļa no eļļas/ūdens separatoriem;żejt minn separaturi taż-żejt/ilma;olie uit olie/water afscheiders;olej z separatorów olej/woda;óleo de separadores de óleo/água;ulei din separatoarele de ulei/apă;olej z odlučovačov olej/voda;olje iz ločevalnikov olja/vode;olja från olje-/vattenavskiljare;olje fra olje/vann-separatorer;olía úr olíu/vatnsskiljurum
